ID,order,family,specie,y,x
3332,Actinopterygii,Cyprinodontiformes,Poecilia,"-22,951","-42,8017"
5554,Characiformes,Crenuchidae,Characidium vidali,"-22,6167","-42,7167"
4324,Atheriniformes,Atherinopsidae,Atherinella brasiliensis,"-22,9926","-43,3403"
5532,Characiformes,Crenuchidae,Characidium vidali,"-22,5831","-43,4469"
3697,Hemiptera,Veliidae,Microvelia argentata,"-22,9488","-43,2861"
1149,Insecta,Odonata,Erythemis,"-22,453","-42,772"
6097,Siluriformes,Heptapteridae,Acentronichthys leptos,"-22,5867","-43,1842"
2374,Actinopterygii,Siluriformes,Rhamdioglanis,"-22,3966","-42,584"
977,Actinopterygii,Siluriformes,Trichomycterus,"-22,9539","-43,2911"
6110,Siluriformes,Loricariidae,Sem informação,"-22,5707","-43,3169"
532,Plecoptera,Gripopterygidae,Sem Informações,"-22,9567","-43,2781"
1182,Insecta,Odonata,Erythemis,"-22,453","-42,772"
710,Diptera,Chironomidae,Sem Informações,"-22,9489","-43,2858"
5313,Cichliformes,Cichlidae,Geophagus brasiliensis,"-23,0167","-43,4167"
1055,Insecta,Odonata,Forcepsioneura,"-22,9621","-43,289"
4546,Characiformes,Characidae,Astyanax parahybae,"-22,4164","-42,753"
5284,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,7131","-42,9519"
2249,Actinopterygii,Siluriformes,Pimelodella,"-22,5572","-43,2772"
24,Trichoptera,Anomalopsychidae,Contulma tijuca,"-22,9542","-43,2916"
6470,Siluriformes,Loricariidae,Parotocinclus maculicauda,"-22,4489","-42,7717"
18,Trichoptera,Hydroptilidae,Sem Informações,"-22,9594","-43,2778"
6121,Gymnotiformes,Gymnotidae,Gymnotus pantherinus,"-22,6167","-42,7167"
3906,Odonata,Aeshnidae,Coryphaeschna perrensi,"-22,5445","-42,8071"
1723,Actinopterygii,Siluriformes,Corydoras,"-22,6006","-43,0917"
852,Insecta,Coleoptera,Hexacylloepus,"-22,9638","-43,2667"
6335,Siluriformes,Heptapteridae,Pimelodella lateristriga,"-22,5933","-43,1219"
6641,Cyprinodontiformes,Poeciliidae,Sem informação,"-22,9147","-43,4214"
5668,Characiformes,Crenuchidae,Characidium vidali,"-22,4942","-42,9981"
3839,Odonata,Aeshnidae,Gynacantha nervosa,"-22,4696","-42,7586"
6924,Cyprinodontiformes,Poeciliidae,Phalloceros harpagos,"-22,4356","-42,7589"
6446,Siluriformes,Loricariidae,Ancistrus multispinis,"-22,5944","-43,1317"
3283,Actinopterygii,Cyprinodontiformes,Poecilia,"-22,9492","-42,704"
4587,Characiformes,Characidae,Sem informaçao,"-22,5867","-43,1842"
5279,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,9997","-43,4231"
3069,Actinopterygii,Cyprinodontiformes,Poecilia,"-22,5869","-43,4072"
706,Diptera,Chironomidae,Sem Informações,"-22,9489","-43,2858"
5014,Characiformes,Characidae,Bryconamericus ornaticeps,"-22,6211","-43,2419"
4886,Characiformes,Characidae,Astyanax janeiroensis,"-22,5031","-42,894"
1890,Actinopterygii,Characiformes,Characidium,"-22,4036","-42,589"
5309,Characiformes,Crenuchidae,Characidium interruptum,"-22,9542","-43,4464"
3289,Actinopterygii,Cyprinodontiformes,Sem Informações,"-22,943","-42,7323"
4247,Siluriformes,Callichthyidae,Callichthys callichthys,"-22,9133","-42,9164"
1054,Insecta,Odonata,Forcepsioneura,"-22,9621","-43,289"
962,Actinopterygii,Siluriformes,Trichomycterus,"-22,5689","-43,3819"
826,Insecta,Coleoptera,Sem informação,"-22,9591","-43,2757"
6384,Siluriformes,Heptapteridae,Sem informação,"-22,5336","-42,9281"
3409,Actinopterygii,Cyprinodontiformes,Poecilia,"-22,5897","-43,4333"
480,Trichoptera,Hydropsychidae,Sem Informações,"-22,9488","-43,2693"
601,Basommatophora,Physidae,Sem Informações,"-22,6744","-42,9733"
6339,Siluriformes,Loricariidae,Sem informação,"-22,5858","-43,0692"
11,Trichoptera,Hydropsychidae,Sem Informações,"-22,9564","-43,2899"
3846,Odonata,Aeshnidae,Anax amazili,"-22,4512","-42,7713"
471,Trichoptera,Leptoceridae,Sem Informações,"-22,9574","-43,2776"
1160,Insecta,Odonata,Tramea,"-22,453","-42,772"
