OBJECTID_1,ID,Ordem,Familia,Especie,X,Y
4510,4610,Characiformes,Characidae,Sem informaçao,"-22,5839","-43,1658"
2374,2417,Actinopterygii,Siluriformes,Rhamdioglanis,"-22,6122","-43,4181"
4954,5062,Characiformes,Characidae,Oligosarcus hepsetus,"-22,1189","-43,0486"
5632,5758,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,4356","-42,7589"
2310,2352,Actinopterygii,Siluriformes,Pimelodella,"-21,58","-42,1428"
2675,2725,Actinopterygii,Siluriformes,Parotocinclus,"-21,6344","-42,0339"
4933,5039,Characiformes,Characidae,Sem informaçao,"-22,0762","-41,153"
1884,1923,Actinopterygii,Characiformes,Cyphocharax,"-21,6981","-42,2389"
4480,4580,Characiformes,Characidae,Sem informaçao,"-21,3296","-41,8808"
2921,2988,Actinopterygii,Siluriformes,Pimelodus,"-21,6981","-42,2389"
940,973,Actinopterygii,Siluriformes,Trichomycterus,"-22,545556","-43,301389"
1531,1566,Actinopterygii,Siluriformes,Trachelyopterus,"-21,2376","-42,1226"
3945,4036,Characiformes,Anostomidae,Sem informaçao,"-21,2667","-41,7833"
2325,2367,Actinopterygii,Siluriformes,Rhamdioglanis,"-22,5249","-43,0317"
2352,2394,Actinopterygii,Siluriformes,Rhamdia,"-22,6006","-43,0917"
2223,2263,Actinopterygii,Siluriformes,Rhamdia,"-22,2765","-41,8749"
2527,2573,Actinopterygii,Siluriformes,Parotocinclus,"-22,2599","-41,8976"
4476,4576,Characiformes,Characidae,Astyanax intermedius,"-21,3609","-41,7082"
2159,2199,Actinopterygii,Siluriformes,Pimelodella,"-21,5772","-41,5772"
3841,3931,Characiformes,Anostomidae,Leporinus copelandii,"-21,2","-41,9167"
938,971,Actinopterygii,Siluriformes,Trichomycterus,"-22,578056","-43,392778"
5118,5231,Characiformes,Characidae,Sem informaçao,"-21,4547","-41,4131"
2760,2810,Actinopterygii,Siluriformes,Neoplecostomus,"-22,5249","-43,0309"
1878,1917,Actinopterygii,Characiformes,Cyphocharax,"-21,6372","-41,7577"
2465,2508,Actinopterygii,Siluriformes,Rineloricaria,"-21,6372","-41,7577"
3873,3963,Characiformes,Anostomidae,Sem informaçao,"-21,6333","-41,85"
5284,5400,Cichliformes,Cichlidae,Crenicichla lacustris,"-22,0494","-41,5869"
4335,4433,Characiformes,Characidae,Oligosarcus hepsetus,"-22,2872","-41,7119"
4679,4779,Characiformes,Characidae,Sem informaçao,"-22,4689","-44,467"
1998,2037,Actinopterygii,Characiformes,Hoplias,"-21,7485","-42,3424"
6048,6190,Characiformes,Erythrinidae,Hoplias malabaricus,"-22,4189","-41,8615"
4859,4964,Characiformes,Characidae,Hyphessobrycon luetkenii,"-22,2808","-41,7308"
5651,5779,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,5914","-43,0908"
2342,2384,Actinopterygii,Siluriformes,Rhamdia,"-22,1074","-41,4662"
2653,2702,Actinopterygii,Siluriformes,Schizolecis,"-22,233","-42,0356"
4915,5021,Characiformes,Characidae,Sem informaçao,"-22,0592","-41,0833"
4925,5031,Characiformes,Characidae,Hyphessobrycon bifasciatus,"-22,0242","-41,0731"
2370,2413,Actinopterygii,Siluriformes,Acentronichthys,"-22,5925","-43,414"
5397,5517,Cichliformes,Cichlidae,Australoheros macaensis,"-22,1894","-41,8278"
1632,1667,Actinopterygii,Siluriformes,Scleromystax,"-22,4486","-42,9835"
2712,2762,Actinopterygii,Siluriformes,Hypostomus,"-21,7485","-42,3424"
5461,5581,Cichliformes,Cichlidae,Sem informação,"-22,417","-41,8198"
1556,1591,Actinopterygii,Siluriformes,Glanidium,"-21,6981","-42,2389"
3969,4063,Characiformes,Anostomidae,Megaleporinus conirostris,"-22,3528","-42,2269"
2690,2740,Actinopterygii,Siluriformes,Rineloricaria,"-21,6347","-41,7614"
2803,2853,Actinopterygii,Siluriformes,Schizolecis,"-22,5797","-43,4208"
4049,4144,Characiformes,Anostomidae,Leporinus copelandii,"-21,6333","-41,85"
2784,2834,Actinopterygii,Siluriformes,Rineloricaria,"-22,5533","-42,693"
2363,2406,Actinopterygii,Siluriformes,Rhamdioglanis,"-22,5619","-43,3894"
916,946,Actinopterygii,Siluriformes,Homodiaetus,"-22,553306","-42,692972"
6402,6565,Gymnotiformes,Sternopygidae,Eigenmannia virescens,"-22,5947","-42,2525"
4767,4867,Characiformes,Characidae,Hyphessobrycon bifasciatus,"-23,0167","-43,5"
5754,5886,Characiformes,Erythrinidae,Hoplerythrinus unitaeniatus,"-22,2189","-41,5069"
912,942,Actinopterygii,Siluriformes,Trichomycterus,"-22,521556","-42,630111"
4407,4507,Characiformes,Characidae,Sem informaçao,"-22,0428","-43,2083"
4735,4835,Characiformes,Characidae,Astyanax lacustris,"-22,2319","-41,6972"
4346,4444,Characiformes,Characidae,Astyanax taeniatus,"-22,5583","-42,1186"
4810,4912,Characiformes,Characidae,Astyanax hastatus,"-22,6089","-43,5689"
2793,2843,Actinopterygii,Siluriformes,Ancistrus,"-22,8225","-43,5417"
5668,5796,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,8125","-42,6569"
6725,6907,Siluriformes,Pimelodidae,Steindachneridion parahybae,"-22,23","-43,42"
2740,2790,Actinopterygii,Siluriformes,Hypostomus,"-21,58","-42,1428"
2887,2954,Actinopterygii,Siluriformes,Ancistrus,"-22,5825","-43,4375"
4392,4492,Characiformes,Characidae,Sem informaçao,"-21,63","-42,034"
6059,6202,Characiformes,Erythrinidae,Hoplias malabaricus,"-22,3708","-41,7869"
4706,4806,Characiformes,Characidae,Sem informaçao,"-22,1881","-41,6769"
2014,2053,Actinopterygii,Characiformes,Hoplias,"-22,5727","-42,0459"
1530,1565,Actinopterygii,Siluriformes,Trachelyopterus,"-21,4323","-41,0866"
1354,1389,Actinopterygii,Characiformes,Leporinus,"-21,6344","-42,0339"
6045,6186,Characiformes,Erythrinidae,Hoplias malabaricus,"-22,64","-43,5261"
4501,4601,Characiformes,Characidae,Sem informaçao,"-22,5867","-43,1842"
827,857,Actinopterygii,Siluriformes,Trichomycterus,"-22,85","-43,766667"
5370,5490,Cichliformes,Cichlidae,Crenicichla lacustris,"-22,0336","-41,2558"
2176,2216,Actinopterygii,Siluriformes,Pimelodella,"-21,6372","-41,7577"
2682,2732,Actinopterygii,Siluriformes,Rineloricaria,"-21,6344","-42,0339"
4892,4998,Characiformes,Characidae,Hyphessobrycon luetkenii,"-22,287","-41,7133"
1815,1851,Actinopterygii,Characiformes,Characidium,"-21,8244","-42,5217"
4672,4772,Characiformes,Characidae,Sem informaçao,"-22,8408","-43,6089"
2885,2950,Actinopterygii,Siluriformes,Hisonotus,"-22,5591","-42,3334"
4318,4416,Characiformes,Characidae,Oligosarcus hepsetus,"-22,1189","-43,0486"
2846,2911,Actinopterygii,Siluriformes,Ancistrus,"-22,5494","-43,3039"
5382,5502,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,55","-42,4167"
5054,5165,Characiformes,Characidae,Sem informaçao,"-22,5319","-43,8192"
5095,5208,Characiformes,Characidae,Sem informaçao,"-22,2031","-41,4575"
2946,3013,Actinopterygii,Siluriformes,Pimelodus,"-21,6344","-42,0339"
4962,5070,Characiformes,Characidae,Astyanax scabripinnis,"-22,5492","-44,578"
4478,4578,Characiformes,Characidae,Sem informaçao,"-22,0803","-43,5078"
1654,1689,Actinopterygii,Siluriformes,Scleromystax,"-22,237","-42,0201"
1865,1904,Actinopterygii,Characiformes,Cyphocharax,"-21,23","-42,0933"
2574,2623,Actinopterygii,Siluriformes,Hypostomus,"-21,8244","-42,5217"
2768,2818,Actinopterygii,Siluriformes,Ancistrus,"-22,5829","-42,5752"
5615,5740,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,5692","-42,5528"
4847,4952,Characiformes,Characidae,Mimagoniates microlepis,"-22,8789","-42,6336"
5653,5781,Cichliformes,Cichlidae,Australoheros macacuensis,"-22,5336","-42,9281"
4396,4496,Characiformes,Characidae,Astyanax hastatus,"-22,5292","-43,8119"
2455,2498,Actinopterygii,Siluriformes,Loricariichthys,"-21,6372","-41,7577"
6813,7003,Siluriformes,Pimelodidae,Pimelodus fur,"-22,1189","-43,0486"
3349,3424,Actinopterygii,Characiformes,Prochilodus,"-21,8","-41,5846"
5849,5981,Characiformes,Erythrinidae,Hoplias malabaricus,"-22,0256","-41,0903"
5019,5129,Characiformes,Characidae,Astyanax parahybae,"-22,4811","-42,248"
1842,1878,Actinopterygii,Characiformes,Characidium,"-22,4779","-42,6206"
1870,1909,Actinopterygii,Characiformes,Cyphocharax,"-21,5772","-41,5772"
2553,2600,Actinopterygii,Siluriformes,Rineloricaria,"-22,5406","-42,4317"
841,871,Actinopterygii,Siluriformes,Trichomycterus,"-21,239356","-42,170472"
5614,5739,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,6928","-42,9553"
5502,5624,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,8942","-42,6589"
6744,6926,Siluriformes,Pimelodidae,Steindachneridion parahybae,"-22,23","-43,42"
4914,5020,Characiformes,Characidae,Sem informaçao,"-22,1189","-43,0486"
2832,2897,Actinopterygii,Siluriformes,Loricariichthys,"-21,6334","-42,0334"
4404,4504,Characiformes,Characidae,Hyphessobrycon bifasciatus,"-22,8919","-42,5972"
4653,4753,Characiformes,Characidae,Sem informaçao,"-21,8961","-41,4031"
1830,1866,Actinopterygii,Characiformes,Characidium,"-22,4141","-42,9077"
1644,1679,Actinopterygii,Siluriformes,Scleromystax,"-22,4152","-42,9033"
4332,4430,Characiformes,Characidae,Sem informaçao,"-22,0383","-42,9931"
6519,6691,Characiformes,Prochilodontidae,Prochilodus vimboides,"-22,3364","-41,7858"
3946,4037,Characiformes,Anostomidae,Sem informaçao,"-21,25","-41,75"
1358,1393,Actinopterygii,Characiformes,Leporinus,"-22,6875","-43,8264"
4399,4499,Characiformes,Characidae,Sem informaçao,"-21,0826","-41,9538"
2498,2544,Actinopterygii,Siluriformes,Hypostomus,"-22,6042","-43,2211"
