ID_,x_,y_,coliformes_termotolerantes,ph_,oxigenio_dissolvido,DBO_,temperatura_,nitrogenio_total,fosforo_total_,turbidez_,solidos_dissolvidos_totais
338,"-43,214713","-22,512042",>160000,7,"1,7",15,"19,8","15,2","1,41","8,6",174
339,"-43,212466","-22,510962",>160000,"6,95","1,8",12,"17,7","14,1","1,18","4,9",152
340,"-43,194048","-22,506651",>160000,"6,93","1,3",11,"17,5","8,2","0,58","2,7",106
341,"-43,191077","-22,503611",>160000,"7,02","0,8",7,"17,9","10,3","0,79","3,6",125
342,"-43,122150","-22,505673","23,0","7,08","5,45",4,20,"1,2","0,01","0,6",10
343,"-43,149543","-22,497369",>160000,"7,4","6,2",5,"18,1","1,5","0,09","1,7",37
344,"-43,152666","-22,488358","1600,0","6,74","5,49",6,15,"2,2","0,12","1,8",36
345,"-43,094538","-22,462521","220,0","7,11","6,2",3,"14,3","0,4","0,16","1,4",10
346,"-43,115623","-22,449339","920,0","7,29","5,1",5,"16,4","3,3","0,15","2,7",42
347,"-43,139756","-22,442199",>160000,"7,2","3,5",8,"18,1","2,4","0,06","4,0",42
348,"-43,214169","-22,456232","1600,0","7,32","6,54",4,"15,9","0,5","<0,003","0,7",19
349,"-43,238753","-22,428119",>160000,"6,21","5,7",6,"15,2","0,6","<0,003","0,7",19
350,"-43,163897","-22,427182",>160000,"6,98","5,5",5,16,1,"0,05","1,5",30
351,"-43,139279","-22,414841",>160000,"6,52","2,3",14,"19,4","9,2","0,68","8,8",130
352,"-43,054806","-22,429875","280,0","5,98","4,61",3,"16,86","1,3","0,01","0,6",13
353,"-43,115095","-22,395042",>160000,"6,44","4,4",6,"19,1","1,4","0,07","6,6",38
354,"-43,115240","-22,379240",>160000,"6,26","3,9",10,"18,4","1,9","0,08","3,0",62
355,"-43,135650","-22,332860",>160000,"6,38","4,7",9,"17,3","1,4","0,07","3,0",44
356,"-43,093000","-22,285652","1300,0",7,"5,1",8,"17,47",2,"0,02","2,7",37
357,"-43,101290","-22,237850",>160000,"8,04","3,74",15,"19,01","6,8","0,64","5,1",109
358,"-43,211069","-22,540816",>160000,"7,41","1,5",9,"18,1","4,4","0,29","8,2",61
359,"-43,199256","-22,531514",>160000,"8,5","1,9",10,18,"6,6","0,47","3,6",105
360,"-43,188525","-22,520682",>160000,"8,15",1,9,"20,1","6,5","0,57","3,8",111
361,"-43,185556","-22,517413",>160000,"7,37","0,9",7,"21,3","6,7","0,58","2,6",106
362,"-43,183382","-22,516161",>160000,"7,37","0,71",9,"19,1","8,6","0,59","4,4",123
363,"-43,156632","-22,526488",>160000,"7,63","1,8",9,"14,8","0,5","0,02","0,3",12
364,"-43,169442","-22,522009",>160000,"7,24","1,4",5,"15,9",7,"0,64","4,1",116
365,"-43,170854","-22,515430",>160000,"7,2","1,9",12,"20,1","7,4","0,49","5,3",115
366,"-43,172498","-22,514086",>160000,"6,85","1,1",10,"18,8","20,6","1,35","8,7",164
367,"-43,175656","-22,509450",>160000,"7,24","1,5",5,"18,1","11,3","0,72","5,5",152
368,"-42,983436","-22,448156","230,0","6,01","4,35",6,"16,71","0,5","0,03","0,7",15
369,"-42,980376","-22,398489",>160000,"6,17","2,89",65,"21,76","9,9","1,14","7,1",124
370,"-42,947235","-22,302648","3500,0","6,7","3,61",3,"18,7","1,3","0,02","4,6",24
371,"-42,874728","-22,360466","16000,0","5,97","3,98",6,"17,06","0,5","0,03","1,9",26
372,"-42,816215","-22,305782","230,0","6,19","4,1",4,"17,22","0,3","0,01","2,4",21
373,"-42,733296","-22,263917","2400,0",6,"3,91",16,"17,9","4,5","0,11","24,2",78
374,"-42,861494","-22,281308","1300,0","6,16","3,78",8,"18,6","1,3","0,04","0,7",49
375,"-42,917455","-22,249493","2800,0","6,11","3,7",8,"20,13",4,"0,03","4,0",73
376,"-42,790554","-22,142032","160000,0","7,54","3,69",18,"19,03",2,"0,11","5,9",38
377,"-42,953446","-22,166749","16000,0","7,35","4,66",10,"18,2","2,6","0,14","6,5",46
378,"-43,020952","-22,215252","790,0","7,37","4,74",11,"17,62","1,5","0,02","5,3",22
379,"-43,307691","-22,391550","920,0","6,34","5,8",4,"15,7","0,3","<0,003","5,4",23
380,"-43,185458","-22,322988","110,0","6,99","4,3",5,"18,6","0,8","0,04","3,5",27
381,"-43,156900","-22,231205",23,"6,95","6,12",5,"20,3",2,"0,32","85,3",24
382,"-42,621440","-21,910970","230,0","6,45","6,94",6,"16,03","0,9","0,02","14,1",50
383,"-42,679379","-22,053046","16000,0","6,58","7,94",6,"17,96",1,"0,02","6,2",47
384,"-42,773504","-22,025760","3500,0","6,26","6,64",8,"18,3","0,9","0,02","7,7",47
385,"-42,698471","-21,887862","24000,0","7,32","3,87",10,"21,84","0,5","0,06","12,4",39
386,"-43,063363","-22,112715","790,0","7,4","5,03",6,"20,58","0,4","0,01","12,9",33
387,"-43,203585","-22,477103","49,0","6,89","6,8",3,17,"0,3",0,"3,2",13
388,"-43,192264","-22,507109","160000,0","6,49","4,09",10,"20,8","10,3","0,28","9,82",280
389,"-43,177401","-22,488937","160000,0","6,36","3,24",3,20,"5,1","0,21","9,69",117
390,"-43,151594","-22,474022","160000,0","6,64","4,48",10,"20,7","5,1","0,28","17,82",98
391,"-43,146821","-22,464186","1600,0","6,61","4,21",15,21,"5,0","0,28","9,65",103
392,"-43,143104","-22,457097","1600,0","6,66","4,1",10,21,"4,9","0,25","13,99",102
393,"-43,140300","-22,442182","160000,0","6,74","4,15",15,21,"5,2","0,29","6,42",107
394,"-43,132677","-22,423199","92000,0","6,37","3,8",6,21,6,"0,27",25,102
395,"-43,135284","-22,403151","160000,0","6,43","3,92",10,21,"4,7","0,26","29,3",89
396,"-43,133380","-22,385640","160000,0","6,54","4,71",3,"20,9","1,2","0,16",217,47
397,"-43,131041","-22,379071","92000,0","6,67","3,74",3,"20,8","2,6","0,3","36,8",78
398,"-43,076507","-22,255282","2200,0","6,97","4,92",10,"22,9","2,9","0,26",48,86
399,"-43,104233","-22,231577","1400,0","6,2","5,4",17,24,"2,1","0,14","29,2",56
