ID,Nome cientifico,Nome cientifico na base de dados,Nivel taxonomico,Numero de individuos,Filo,Classe,Ordemm,Familia,Genero,Especie,Estado de conservacao,Categoria de Ameaca,Localidade,Municipio,Status de Sensibilidade,Latitude,Longitude
3933,Leptohyphes,Leptohyphes,Genero,22,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Leptohyphes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,936,056","-43,441,333"
3934,Leptohyphes,Leptohyphes,Genero,3,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Leptohyphes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,933,167","-43,448,056"
3935,Leptohyphes,Leptohyphes,Genero,13,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Leptohyphes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,934,889","-434,485"
3936,Leptohyphes,Leptohyphes,Genero,4,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Leptohyphes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,935,611","-43,439,167"
3937,Leptohyphes,Leptohyphes,Genero,43,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Leptohyphes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra Da Bocaina,Angra Dos Reis,Especie Nao Sensivel,"-22,926,192","-44,623,556"
3938,Leptohyphidae,Leptohyphidae,Familia,8,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,353,606","-44,654,442"
3939,Leptohyphidae,Leptohyphidae,Familia,2,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,328,889","-44,681,944"
3940,Leptohyphidae,Leptohyphidae,Familia,1,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-233,425","-44,605,556"
3941,Leptohyphidae,Leptohyphidae,Familia,2,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,331,389","-44,663,611"
3942,Leptohyphidae,Leptohyphidae,Familia,3,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Restinga De Jurubatiba,Sem Informações,Especie Nao Sensivel,"-22,292,139","-41,688,192"
3943,Leptohyphidae,Leptohyphidae,Familia,116,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,427,286","-44,618,267"
3944,Leptohyphidae,Leptohyphidae,Familia,116,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,437,797","-44,605,325"
3945,Leptophlebiidae,Leptophlebiidae,Familia,8,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,956,667","-43,278,056"
3946,Leptophlebiidae,Leptophlebiidae,Familia,3,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra Da Bocaina,Sem Informações,Especie Nao Sensivel,-23.35,"-44,733,331"
3947,Leptophlebiidae,Leptophlebiidae,Familia,54,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,353,606","-44,654,442"
3948,Leptophlebiidae,Leptophlebiidae,Familia,14,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,338,056","-44,622,778"
3949,Leptophlebiidae,Leptophlebiidae,Familia,6,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,327,222","-44,644,444"
3950,Leptophlebiidae,Leptophlebiidae,Familia,51,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,328,889","-44,681,944"
3951,Leptophlebiidae,Leptophlebiidae,Familia,2,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-233,425","-44,605,556"
3952,Leptophlebiidae,Leptophlebiidae,Familia,4,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,338,333","-44,703,056"
3953,Leptophlebiidae,Leptophlebiidae,Familia,2,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuaçu,Sem Informações,Especie Nao Sensivel,"-23,331,389","-44,663,611"
3954,Leptophlebiidae,Leptophlebiidae,Familia,7,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra Da Bocaina,Sem Informações,Especie Nao Sensivel,"-23,345,278","-44,722,222"
3955,Leptophlebiidae,Leptophlebiidae,Familia,4,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra Da Bocaina,Sem Informações,Especie Nao Sensivel,"-23,351,389","-44,727,222"
3956,Leptophlebiidae,Leptophlebiidae,Familia,15,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,948,889","-43,285,833"
3957,Leptophlebiidae,Leptophlebiidae,Familia,116,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,427,286","-44,618,267"
3958,Leptophlebiidae,Leptophlebiidae,Familia,116,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,437,797","-44,605,325"
3959,Thraulodes,Thraulodes,Genero,4,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Thraulodes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parati,Parati,Especie Nao Sensivel,"-23,041,722","-44,693,083"
3960,Thraulodes,Thraulodes,Genero,4,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Thraulodes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,934,889","-434,485"
3961,Tricorythodes,Tricorythodes,Genero,3,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Tricorythodes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parati,Parati,Especie Nao Sensivel,"-23,041,778","-44,695,889"
3962,Tricorythodes,Tricorythodes,Genero,6,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Tricorythodes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Estadual Da Pedra Branca,Rio De Janeiro,Especie Nao Sensivel,"-22,935,611","-43,439,167"
3963,Tricorythodes,Tricorythodes,Genero,16,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Tricorythodes,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra Da Bocaina,Angra Dos Reis,Especie Nao Sensivel,"-22,926,192","-44,623,556"
