LOCALIDADE,LATITUDE,LONGITUDE,CLASSE,GENERO,FAMILIA,ESPECIE,NUMERO DE REGISTRO NO PORTAL,NOME COMUM,,,,,,,,,,,,,,,,-22.586.156,,Estado/Provincia,,Numero do registro no portal
Regua,-22.429.167,-42.750.278,Amphibia,Hypsiboas,Hylidae,Hypsiboas semilineatus,127348,,,,,,,,,,,,,,,,,,,RJ,,127348
Regua,-22.429.167,-42.750.278,Amphibia,Scinax,Hylidae,Scinax similis,127445,,,,,,,,,,,,,,,,,,,RJ,,127445
Citrolandia,-22.656.667,-43.039.717,Amphibia,Haddadus,Craugastoridae,Haddadus binotatus,129412,,,,,,,,,,,,,,,,,,,RJ,,129412
Citrolandia,-22.656.667,-43.039.717,Amphibia,Euparkerella,Strabomantidae,Euparkerella cochranae,129416,,,,,,,,,,,,,,,,,,,RJ,,129416
Citrolandia,-22.656.667,-43.039.717,Amphibia,Dendropsophus,Hylidae,Dendropsophus meridianus,129515,,,,,,,,,,,,,,,,,,,RJ,,129515
Parque Nacional Da Serra Dos Orgãos,-22.434.467,-43.004.464,Amphibia,Aplastodiscus,Hylidae,Aplastodiscus arildae,118615,,,,,,,,,,,,,,,,,,,RJ,,118615
Parque Nacional Da Serra Dos Orgãos,-22.434.467,-43.004.464,Amphibia,Scinax,Hylidae,Scinax albicans,118619,,,,,,,,,,,,,,,,,,,RJ,,118619
Parque Nacional Da Serra Dos Orgãos,-22.434.467,-43.004.464,Amphibia,Scinax,Hylidae,Scinax obtriangulatus,118620,,,,,,,,,,,,,,,,,,,RJ,,118620
Parque Nacional Da Serra Dos Orgãos,-22.434.467,-43.004.464,Amphibia,Bokermannohyla,Hylidae,Bokermannohyla circumdata,118621,,,,,,,,,,,,,,,,,,,RJ,,118621
Parque Nacional Da Serra Dos Orgãos,-22.434.467,-43.004.464,Amphibia,Aplastodiscus,Hylidae,Aplastodiscus leucopygius,118642,,,,,,,,,,,,,,,,,,,RJ,,118642
Parque Nacional Da Serra Dos Orgãos,-22.434.467,-43.004.464,Amphibia,Scinax,Hylidae,Scinax flavoguttatus,118643,,,,,,,,,,,,,,,,,,,RJ,,118643
Parque Nacional Da Serra Dos Orgãos,-22.434.467,-43.004.464,Amphibia,Scinax,Hylidae,Scinax obtriangulatus,118644,,,,,,,,,,,,,,,,,,,RJ,,118644
Parque Nacional Da Serra Dos Orgãos,-22.434.467,-43.004.464,Amphibia,Aplastodiscus,Hylidae,Aplastodiscus arildae,118645,,,,,,,,,,,,,,,,,,,RJ,,118645
